transaction_id,amount,hour,day_of_week,merchant_category,distance_from_home,days_since_last_txn,transaction_frequency,card_age_years,device_risk_score,txn_count_24h,txn_count_7d,is_fraud
TXN_00000000,26.5,19,5,Grocery,8.48,0.3,20.11,2.76,70.81,0,16,0
TXN_00000001,75.76,0,6,Restaurant,28.28,1.72,9.46,0.45,29.21,3,20,0
TXN_00000002,5.93,4,5,Grocery,57.64,2.9,1.3,2.05,3.44,3,20,0
TXN_00000003,37.97,17,1,Travel,112.61,4.56,25.49,0.28,19.6,0,18,0
TXN_00000004,2.42,14,1,Restaurant,7.59,8.1,0.77,13.0,77.22,1,23,0
TXN_00000005,4.23,9,1,Grocery,99.43,4.88,4.02,0.2,31.1,5,23,0
TXN_00000006,696.98,22,2,Gas,1.29,0.57,0.32,3.04,31.44,3,24,0
TXN_00000007,4.04,6,4,Grocery,132.75,8.25,10.03,6.15,80.37,5,13,0
TXN_00000008,4.29,19,1,Restaurant,33.16,5.9,3.14,0.84,16.83,2,11,0
TXN_00000009,6.63,6,1,Gas,16.76,0.19,9.4,2.1,5.15,3,16,0
TXN_00000010,4.65,23,3,Restaurant,50.19,3.84,0.95,5.41,32.08,1,21,0
TXN_00000011,64.12,2,0,Gas,5.06,14.11,5.07,2.19,83.77,4,16,0
TXN_00000012,8.25,19,3,Travel,115.34,5.01,4.14,1.29,72.6,4,21,0
TXN_00000013,9.52,17,2,Restaurant,58.87,5.28,2.54,3.74,23.72,6,18,0
TXN_00000014,36.33,5,3,Gas,21.55,5.18,11.05,5.99,23.02,3,17,0
TXN_00000015,11.76,4,1,Gas,170.04,16.57,19.17,1.05,38.51,2,23,0
TXN_00000016,43.33,17,3,Online,59.7,6.06,4.45,1.04,80.94,8,26,0
TXN_00000017,12.96,1,2,Restaurant,1.83,3.13,7.82,1.01,59.08,0,18,0
TXN_00000018,11.51,20,5,Online,10.81,2.65,12.02,0.45,13.27,2,19,0
TXN_00000019,22.7,22,1,Grocery,4.22,2.8,11.66,0.18,91.52,2,22,0
TXN_00000020,1.97,4,0,Gas,70.91,0.07,1.23,0.14,4.07,3,20,0
TXN_00000021,6.81,4,1,Restaurant,50.41,0.23,4.69,2.95,50.31,3,22,0
TXN_00000022,81.71,19,4,Gas,39.44,14.19,4.88,9.75,90.54,1,13,0
TXN_00000023,2.76,2,6,Restaurant,24.34,5.72,4.16,0.91,49.6,3,19,0
TXN_00000024,114.95,9,0,Online,6.83,1.44,8.69,6.05,56.19,3,18,0
TXN_00000025,92.35,15,3,Grocery,5.27,0.27,31.83,5.63,35.49,4,13,0
TXN_00000026,107.38,22,6,Entertainment,58.24,9.07,20.16,5.47,42.61,3,20,0
TXN_00000027,19.8,15,0,Travel,13.5,11.91,8.96,1.29,70.82,3,18,0
TXN_00000028,82.12,12,5,Online,86.52,6.82,11.43,0.81,40.02,1,20,0
TXN_00000029,21.46,11,1,Restaurant,19.48,0.22,25.86,7.54,25.3,2,16,0
TXN_00000030,68.31,20,2,Travel,159.35,0.3,5.02,0.34,33.57,2,16,0
TXN_00000031,5.25,8,3,Gas,1.64,1.64,5.3,2.77,27.1,1,29,0
TXN_00000032,2.78,14,2,Gas,75.16,3.27,42.19,1.42,74.96,3,8,0
TXN_00000033,15.29,5,0,Restaurant,69.3,12.22,8.8,3.89,75.71,2,16,0
TXN_00000034,1.93,0,2,Grocery,55.67,3.67,14.8,2.2,85.22,4,22,0
TXN_00000035,56.44,5,5,Entertainment,46.84,5.06,8.09,0.29,72.64,4,23,0
TXN_00000036,14.21,23,5,Gas,11.73,4.33,4.18,2.31,46.01,3,23,0
TXN_00000037,6.84,2,1,Entertainment,46.06,1.27,17.25,1.27,34.76,0,21,0
TXN_00000038,128.72,13,5,Grocery,80.32,4.94,0.85,6.2,92.09,1,24,0
TXN_00000039,12.71,19,2,Gas,33.13,4.82,4.6,1.86,74.75,0,16,0
TXN_00000040,3.79,22,4,Gas,38.03,1.39,3.14,1.42,2.01,2,14,0
TXN_00000041,13.4,3,1,Restaurant,32.66,4.39,13.35,2.45,58.65,4,16,0
TXN_00000042,5.81,0,5,Gas,95.13,0.46,16.39,0.17,84.23,1,27,0
TXN_00000043,2.69,3,5,Entertainment,33.74,6.42,17.2,3.8,53.5,5,23,0
TXN_00000044,3.11,13,2,Gas,38.03,0.27,4.1,0.43,6.34,4,24,0
TXN_00000045,16.8,22,0,Grocery,95.1,6.85,5.25,8.11,99.09,4,23,0
TXN_00000046,26.68,20,6,Travel,19.0,4.44,11.49,1.8,71.38,5,18,0
TXN_00000047,2.59,7,2,Restaurant,28.24,2.02,13.11,3.55,16.67,8,16,0
TXN_00000048,57.08,9,5,Grocery,13.02,6.41,12.73,3.07,69.39,2,21,0
TXN_00000049,7.15,13,1,Travel,7.49,0.53,2.96,3.88,59.3,3,22,0
TXN_00000050,15.19,8,3,Travel,29.97,0.6,41.89,5.48,12.47,5,18,0
TXN_00000051,13.74,8,5,Gas,99.58,12.82,6.27,1.97,91.85,1,27,0
TXN_00000052,5.15,6,6,Grocery,11.96,3.62,37.11,1.84,55.73,3,17,0
TXN_00000053,36.13,16,2,Gas,41.6,0.34,14.94,1.81,52.44,3,29,0
TXN_00000054,21.81,0,2,Restaurant,1.37,1.25,2.63,3.34,1.97,2,22,0
TXN_00000055,4.82,23,6,Travel,88.66,2.53,11.03,0.69,29.31,1,12,0
TXN_00000056,1.64,15,3,Travel,85.03,2.09,3.0,1.43,59.03,3,19,0
TXN_00000057,101.25,11,4,Travel,33.42,11.25,16.09,1.66,2.25,3,15,0
TXN_00000058,15.41,5,5,Grocery,40.39,5.27,17.7,0.69,1.1,4,22,0
TXN_00000059,3.77,16,5,Gas,36.59,0.24,1.82,4.02,8.28,3,18,0
TXN_00000060,148.05,7,2,Travel,65.95,1.21,0.32,0.91,59.51,1,21,0
TXN_00000061,8.45,1,3,Grocery,65.13,3.42,11.66,1.71,24.64,5,19,0
TXN_00000062,32.46,15,0,Restaurant,58.93,9.46,2.87,2.02,22.12,2,15,0
TXN_00000063,25.59,6,5,Restaurant,17.64,12.91,35.42,8.66,47.42,4,21,0
TXN_00000064,3.49,12,4,Online,3.38,1.89,7.75,4.69,31.88,4,26,0
TXN_00000065,56.46,12,1,Travel,80.17,30.91,4.32,4.37,40.19,6,23,0
TXN_00000066,3.64,12,0,Grocery,2.15,0.09,44.0,1.67,38.43,4,19,0
TXN_00000067,3.45,23,2,Restaurant,9.14,23.65,2.64,8.58,64.96,3,16,0
TXN_00000068,66.99,23,3,Restaurant,8.36,8.46,2.54,0.76,53.7,2,26,0
TXN_00000069,6.14,8,2,Travel,1.8,2.0,26.82,3.99,28.14,1,23,0
TXN_00000070,0.19,15,1,Restaurant,87.06,2.14,11.33,2.5,26.7,10,15,0
TXN_00000071,4.29,18,4,Grocery,85.73,1.3,23.94,0.0,55.62,2,12,0
TXN_00000072,9.34,16,1,Grocery,0.93,2.83,18.33,1.49,17.95,5,24,0
TXN_00000073,15.3,21,6,Grocery,102.61,18.15,34.7,4.15,13.01,1,20,0
TXN_00000074,2.14,22,1,Grocery,79.19,5.92,2.49,0.26,68.05,3,19,0
TXN_00000075,0.87,19,3,Grocery,206.69,2.63,22.45,0.78,21.31,0,22,0
TXN_00000076,18.38,11,5,Online,93.15,7.16,9.84,0.42,3.25,4,14,0
TXN_00000077,21.08,8,6,Gas,3.32,4.36,3.13,4.79,31.04,1,12,0
TXN_00000078,31.28,5,6,Online,2.02,3.27,1.11,0.83,98.67,2,23,0
TXN_00000079,20.3,0,6,Grocery,21.59,0.17,0.82,1.52,13.27,4,13,0
TXN_00000080,71.59,5,6,Grocery,136.82,14.72,9.82,4.59,61.23,5,9,0
TXN_00000081,75.82,10,3,Restaurant,52.53,3.26,9.56,1.2,47.02,3,15,0
TXN_00000082,6.77,21,2,Grocery,25.81,1.25,5.42,0.68,84.05,4,23,0
TXN_00000083,499.13,17,5,Restaurant,28.87,6.46,6.67,6.2,90.07,4,22,0
TXN_00000084,88.98,2,2,Restaurant,23.33,3.59,5.33,0.21,43.72,1,21,0
TXN_00000085,1.92,1,3,Restaurant,18.71,2.55,19.52,0.03,58.84,3,26,0
TXN_00000086,4.2,9,0,Gas,44.32,14.84,2.91,1.34,37.94,5,26,0
TXN_00000087,20.27,19,4,Grocery,37.88,13.79,0.4,0.39,45.22,3,32,0
TXN_00000088,1.91,17,3,Restaurant,20.98,3.8,1.34,0.43,14.35,3,23,0
TXN_00000089,22.29,4,2,Grocery,54.18,19.23,4.69,0.05,24.41,4,28,0
TXN_00000090,33.35,15,3,Gas,8.68,4.64,3.83,6.04,99.33,2,13,0
TXN_00000091,107.6,13,6,Gas,115.82,10.51,3.82,6.1,37.57,3,21,0
TXN_00000092,2.58,0,2,Grocery,46.25,5.52,9.66,1.87,37.98,3,18,0
TXN_00000093,5.92,4,0,Gas,25.07,3.99,13.74,3.77,52.12,3,30,0
TXN_00000094,2.28,14,1,Grocery,48.03,3.7,11.09,7.96,53.23,2,19,0
TXN_00000095,10.87,10,4,Travel,80.42,1.02,3.5,4.73,18.52,2,25,0
TXN_00000096,258.59,9,5,Online,52.01,0.96,4.47,7.09,76.99,2,22,0
TXN_00000097,20.0,9,0,Restaurant,9.2,6.68,19.86,0.73,9.57,0,22,0
TXN_00000098,70.2,10,4,Gas,220.26,0.73,11.88,1.55,42.82,4,23,0
TXN_00000099,1.61,12,4,Grocery,112.31,1.07,3.91,0.77,35.5,1,12,0
TXN_00000100,92.53,20,4,Grocery,30.52,1.06,0.54,1.43,36.29,4,31,0
TXN_00000101,34.63,22,1,Grocery,29.93,7.06,4.27,3.28,79.54,3,20,0
TXN_00000102,15.34,19,1,Grocery,87.45,7.62,12.34,0.11,30.31,2,29,0
TXN_00000103,8.41,2,1,Gas,45.89,3.63,25.18,2.06,99.22,3,25,0
TXN_00000104,24.1,9,4,Gas,4.22,2.58,1.91,3.56,34.61,6,21,0
TXN_00000105,25.02,12,6,Grocery,1.31,0.73,33.0,2.39,96.58,3,13,0
TXN_00000106,3.82,10,4,Grocery,75.88,3.08,0.6,15.82,5.78,3,14,0
TXN_00000107,20.1,15,6,Restaurant,50.15,1.3,2.65,0.75,17.38,6,20,0
TXN_00000108,6.17,21,5,Gas,78.11,4.36,11.42,0.63,61.89,3,11,0
TXN_00000109,7.63,10,4,Online,5.16,3.35,1.63,1.18,73.74,3,17,0
TXN_00000110,10.96,15,6,Restaurant,53.85,11.27,10.12,2.86,6.67,3,22,0
TXN_00000111,36.8,10,0,Online,5.57,0.18,7.1,1.47,46.19,7,12,0
TXN_00000112,40.26,15,4,Restaurant,24.06,1.15,1.29,2.86,77.46,2,21,0
TXN_00000113,4.91,15,2,Restaurant,6.85,2.06,26.32,0.76,37.22,4,14,0
TXN_00000114,34.21,16,4,Travel,93.71,12.56,2.91,4.22,46.05,5,9,0
TXN_00000115,6.05,20,2,Online,12.01,3.52,18.37,3.96,54.22,4,26,0
TXN_00000116,9.02,4,1,Grocery,64.82,24.02,1.04,1.54,80.01,4,18,0
TXN_00000117,11.9,9,1,Grocery,68.47,1.13,31.72,1.38,32.69,1,18,0
TXN_00000118,1.59,9,4,Gas,59.47,0.02,9.67,1.32,79.42,2,22,0
TXN_00000119,70.01,22,3,Grocery,33.33,4.57,9.22,0.07,32.21,3,25,0
TXN_00000120,4.25,3,5,Gas,3.23,8.08,14.55,3.97,29.94,3,23,0
TXN_00000121,31.16,15,4,Restaurant,194.73,0.9,12.05,2.64,58.65,3,25,0
TXN_00000122,28.01,4,4,Online,49.87,0.26,23.43,7.2,78.02,0,11,0
TXN_00000123,10.77,19,3,Entertainment,3.57,0.29,3.32,0.91,24.7,3,19,0
TXN_00000124,0.66,8,1,Gas,115.05,0.11,10.9,9.92,56.02,1,19,0
